education,education-num,age,fnlwgt,hours-per-week,capital-loss,capital-gain
9,12,22,2671,39,0,25
9,12,33,2926,12,0,0
11,8,21,14086,39,0,0
1,6,36,15336,39,0,0
9,12,11,19355,39,0,0
12,13,20,17700,39,0,0
6,4,32,8536,15,0,0
11,8,35,13620,44,0,0
12,13,14,1318,49,0,105
9,12,25,8460,39,0,79
15,9,20,17530,76,0,0
9,12,13,7077,39,0,0
9,12,6,5772,29,0,0
7,11,15,13217,49,0,0
8,10,23,5722,39,0,0
5,3,17,15963,44,0,0
11,8,8,10163,34,0,0
11,8,15,11257,39,0,0
1,6,21,314,49,0,0
12,13,26,17974,44,0,0
10,15,23,12044,59,0,0
11,8,37,18302,19,0,0
6,4,18,2636,39,0,0
1,6,26,5306,39,54,0
11,8,42,4613,39,0,0
9,12,39,14178,39,0,0
11,8,2,9263,39,0,0
15,9,37,10524,59,0,0
11,8,22,20071,76,0,0
11,8,32,12029,39,0,0
7,11,6,11717,51,0,0
15,9,3,16899,43,0,0
9,12,28,20416,39,15,0
15,9,13,1983,39,0,0
15,9,5,18593,14,0,0
1,6,31,15792,39,0,0
15,9,4,12418,39,0,0
11,8,2,21430,24,0,0
15,9,14,2977,37,0,0
7,11,31,16880,39,0,0
6,4,14,21343,42,0,0
9,12,36,3176,39,0,0
9,12,7,9719,49,0,0
11,8,32,3488,39,0,0
11,8,8,17901,34,0,0
9,12,40,19337,39,0,0
11,8,36,7328,37,0,0
12,13,27,6213,39,0,0
8,10,24,3994,39,0,0
8,10,12,17154,42,0,0
15,9,8,549,39,0,0
11,8,1,14850,29,0,0
14,14,30,1608,59,47,0
9,12,33,16257,54,0,0
11,8,30,4680,59,0,0
15,9,26,15537,39,0,0
4,2,29,14161,39,0,0
8,10,18,1840,39,0,0
11,8,24,7554,47,0,0
11,8,13,11422,39,0,77
9,12,13,1970,39,0,34
5,3,15,18040,39,0,0
11,8,31,7725,39,0,0
10,15,25,5267,44,0,0
15,9,12,4327,57,0,0
11,8,19,8168,39,0,0
15,9,11,10859,39,0,0
11,8,36,9412,39,0,0
15,9,32,11825,49,0,0
15,9,8,12805,39,0,0
15,9,2,3983,31,0,0
9,12,14,18555,39,0,0
9,12,12,8707,68,0,0
15,9,6,13787,39,0,0
15,9,62,5947,19,0,0
11,8,10,13966,39,0,0
7,11,23,544,39,0,0
0,5,50,13865,1,0,0
1,6,1,18550,21,0,0
5,3,14,6036,39,0,0
11,8,1,21076,29,0,0
9,12,35,17359,39,0,0
11,8,29,1598,39,0,0
11,8,42,8511,47,0,0
11,8,27,19520,39,0,106
11,8,36,19601,34,0,0
11,8,32,17019,39,0,0
12,13,16,12945,49,0,0
6,4,13,1739,39,0,0
10,15,26,20763,49,0,0
8,10,40,16186,39,0,0
15,9,20,17778,39,0,0
15,9,11,13849,24,0,0
